"city","mean_swater","err"
"Wafangdian",1.725,""
"Wagga Wagga",1.97154471544715,""
"Wagin",1,""
"Wahiawa",2.69174757281553,""
"Wailuku",2.95510204081633,""
"Waingapu",2.47222222222222,""
"Wainwright",1.91666666666667,""
"Waitakere",NA,""
"Wajir",NA,""
"Wakayama",2.77901320361362,""
"Wakema",1.81981981981982,""
"Waku Kungo",NA,""
"Walbrzych",2,""
"Wales",3,""
"Walla Walla",1.90909090909091,""
"Wallace",NA,""
"Wallaroo",2.09090909090909,""
"Walvis Bay",2.67096774193548,""
"Wamba",NA,""
"Wanganui",2.76106194690265,""
"Wangaratta",1.15384615384615,""
"Wangqing",1.76744186046512,""
"Wanxian",2.44956640803286,""
"Warangal",1.67931769722814,""
"Warri",1.93852459016393,""
"Warrnambool",2.62025316455696,""
"Warsaw",2.23583180987203,""
"Warwick",1.86666666666667,""
"Washington, D.C.",2.57015955641055,""
"Watampone",1.23809523809524,""
"Waterbury",1.91820580474934,""
"Waterford",2.8,""
"Waterloo",2.41050119331742,""
"Watertown",2.03260869565217,""
"Waterville",2.17514124293785,""
"Watsa",NA,""
"Wau",1.2,""
"Waukegan",2.46176264863605,""
"Waukesha",1.84453781512605,""
"Wausau",2.32888888888889,""
"Wawa",2.44,""
"Waycross",1.80263157894737,""
"Weifang",2.02840848712408,""
"Weihai",2.38093369949,""
"Weinan",1.63322884012539,""
"Welkom",1.9,""
"Wellington",2.91034482758621,""
"Wenatchee",2.81976744186047,""
"Wenshan",1.70093457943925,""
"Wenzhou",2.37543136503067,""
"West Bend",2.02020202020202,""
"West Palm Beach",2.01466589766829,""
"Westport",NA,""
"Wetaskiwin",1.7,""
"Wewak",2.71428571428571,""
"Weyburn",1.25,""
"Whakatane",2.26666666666667,""
"Whangarei",2.32467532467532,""
"Wheeling",2.6,""
"White Sulphur Springs",1,""
"Whitehorse",2.50769230769231,""
"Whyalla",2.39622641509434,""
"Wiarton",3,""
"Wichita",2.01997716894977,""
"Wichita Falls",1.77894736842105,""
"Wiener",2.07246376811594,""
"Wiesbaden",2.60136286201022,""
"Wilcannia",1,""
"Wilkes Barre",1.85774058577406,""
"Willcox",1.66666666666667,""
"Willemstad",2.68005738880918,""
"Williams Lake",2.67241379310345,""
"Williamsport",2.23671497584541,""
"Williston",1.95454545454545,""
"Willmar",2.40677966101695,""
"Wilmington1",2.70082860880942,""
"Wilmington2",2.80438710034679,""
"Winchester",1.65671641791045,""
"Windhoek",2.38888888888889,""
"Windsor1",2.87976068874945,""
"Windsor2",2.29411764705882,""
"Winneba",2.56565656565657,""
"Winnemucca",1.39024390243902,""
"Winnipeg",1.68820074746396,""
"Winona",2.28117359413203,""
"Winston-Salem",1.83776595744681,""
"Winter Haven",2.58176291793313,""
"Winton",3,""
"Witu",NA,""
"Wloclawek",2.52238805970149,""
"Wollongong",2.8193215339233,""
"Wonju",1.5375,""
"Wonsan",2.44730077120823,""
"Wonthaggi",1,""
"Woodward",2,""
"Worcester1",2.29573934837093,""
"Worcester2",1.63768115942029,""
"Wrangell",2.72,""
"Wroclaw",2.21074380165289,""
"Wuchuan",2,""
"Wuhan",1.80994788225795,""
"Wuhu",1.84106201127478,""
"Wukari",NA,""
"Wum",1.25,""
"Wuppertal",2.5230352303523,""
"Wurzburg",2.6031746031746,""
"Wuwei",1.89312977099237,""
"Wuxi",1.94606431728781,""
"Wuyuan",1.25531914893617,""
"Wuzhou",2.08459869848156,""
