city,longitude,latitude,coordinates
Betanzos,-65.45138769504767,-19.55139004705086,"[-65.45138769504767, -19.55139004705086]"
Cap-Chat,-66.68749943137851,49.0958331330572,"[-66.68749943137851, 49.0958331330572]"
Celeken,53.11805556641861,39.443055715237094,"[53.11805556641861, 39.443055715237094]"
Chibia,13.69305436810696,-15.184721726205161,"[13.69305436810696, -15.184721726205161]"
Comallo,-70.26249896932919,-41.02916775018629,"[-70.26249896932919, -41.02916775018629]"
Combarbala,-71.00138951662186,-31.176388563008725,"[-71.00138951662186, -31.176388563008725]"
El Qasr,28.881942969688332,25.693057041436884,"[28.881942969688332, 25.693057041436884]"
Esperanza,-109.92916812707564,27.58749909434999,"[-109.92916812707564, 27.58749909434999]"
Geita,32.17500039973867,-2.875000933655461,"[32.17500039973867, -2.875000933655461]"
La Scie,-55.59999968612346,49.96249874355682,"[-55.59999968612346, 49.96249874355682]"
Loreto,-111.3486111329825,26.006944575601533,"[-111.3486111329825, 26.006944575601533]"
Ondjiva,15.726388640319541,-17.068054766113306,"[15.726388640319541, -17.068054766113306]"
Phayao,99.90694428556505,19.16805400730359,"[99.90694428556505, 19.16805400730359]"
Scottsdale1,147.51527849321207,-41.15972094082353,"[147.51527849321207, -41.15972094082353]"
Tarabuco,-64.91250076868218,-19.17916636525929,"[-64.91250076868218, -19.17916636525929]"
Villa Rumipal,-64.48472152115563,-32.184723349088785,"[-64.48472152115563, -32.184723349088785]"
Winton,143.0402766400178,-22.39027672804671,"[143.0402766400178, -22.39027672804671]"
Baddeck,-60.75416782690128,46.099999111229046,"[-60.75416782690128, 46.099999111229046]"
Tonopah,-117.22916631292205,38.06527890898106,"[-117.22916631292205, 38.06527890898106]"
Zelenodolsk,48.66249952148496,55.83333362066134,"[48.66249952148496, 55.83333362066134]"
Finnsnes,17.985119423681546,69.232737966696,"[17.985119423681546, 69.232737966696]"
Brownsweg,-55.16666720448245,5.0166670405710665,"[-55.16666720448245, 5.0166670405710665]"
Buurhakaba,44.083332980856014,2.7999988588710347,"[44.083332980856014, 2.7999988588710347]"
Chumbicha,-66.23333331086296,-28.858334316623196,"[-66.23333331086296, -28.858334316623196]"
Cloncurry,140.50833429222664,-20.708332829110745,"[140.50833429222664, -20.708332829110745]"
Dondo2,14.423611129578024,-9.684723799112893,"[14.423611129578024, -9.684723799112893]"
Huaura,-77.60000105011747,-11.066666092550834,"[-77.60000105011747, -11.066666092550834]"
Kambove,26.59861178365546,-10.876389069546237,"[26.59861178365546, -10.876389069546237]"
Karasburg,18.750000477912884,-28.016665619469297,"[18.750000477912884, -28.016665619469297]"
Kasane,25.149998766892605,-17.800000082045592,"[25.149998766892605, -17.800000082045592]"
Koulikoro,-7.543055265897836,12.884722344398517,"[-7.543055265897836, 12.884722344398517]"
Kualakapuas,114.35694401414945,-3.0819455880751527,"[114.35694401414945, -3.0819455880751527]"
Maria Elena,-69.66666719660769,-22.34166582121942,"[-69.66666719660769, -22.34166582121942]"
Maridi,29.468056212547253,4.915278228327011,"[29.468056212547253, 4.915278228327011]"
Mpwapwa,36.48472373814963,-6.3486116703891105,"[36.48472373814963, -6.3486116703891105]"
Oum Hadjer,19.69166668263486,13.291666080018398,"[19.69166668263486, 13.291666080018398]"
Quixada,-39.01666599576219,-4.966667140740819,"[-39.01666599576219, -4.966667140740819]"
San Luis1,-89.44166560862197,16.199998826725153,"[-89.44166560862197, 16.199998826725153]"
Santa Cruz2,-36.02361081067261,-6.22638723126114,"[-36.02361081067261, -6.22638723126114]"
Thongwa,96.52500114814939,16.758333979159662,"[96.52500114814939, 16.758333979159662]"
Uncia,-66.56666669847877,-18.46666688676989,"[-66.56666669847877, -18.46666688676989]"
Van Horn,-104.83333201009542,31.041666225856893,"[-104.83333201009542, 31.041666225856893]"
Vicente Guerrero,-116.00833420202795,30.76666684215427,"[-116.00833420202795, 30.76666684215427]"
Wagin,117.34166783725586,-33.308334436887414,"[117.34166783725586, -33.308334436887414]"
Aqadyr,72.86416627646568,48.26583219615539,"[72.86416627646568, 48.26583219615539]"
Oatlands,147.3708339063833,-42.300000730257416,"[147.3708339063833, -42.300000730257416]"
Santa Barbara3,-72.02250154111736,-37.66749963673584,"[-72.02250154111736, -37.66749963673584]"
Villarica,-72.22583377991464,-39.27749929380542,"[-72.22583377991464, -39.27749929380542]"
White Sulphur Springs,-80.30416758870933,37.79166612420476,"[-80.30416758870933, 37.79166612420476]"
Aigua,-54.76250040343969,-34.20208179603782,"[-54.76250040343969, -34.20208179603782]"
Barcaldine,145.2854170745806,-23.556250121451065,"[145.2854170745806, -23.556250121451065]"
Bosobolo,19.87500039400527,4.187500533443,"[19.87500039400527, 4.187500533443]"
Eseka,10.777081791449314,3.6458329019812985,"[10.777081791449314, 3.6458329019812985]"
Geraldton2,-86.95138983566638,49.7194433575561,"[-86.95138983566638, 49.7194433575561]"
La Paloma,-54.16249992194123,-34.660416606516804,"[-54.16249992194123, -34.660416606516804]"
Libenge,18.63750118488775,3.658332908899691,"[18.63750118488775, 3.658332908899691]"
Masindi-Port,32.06666709824822,1.7041663893896313,"[32.06666709824822, 1.7041663893896313]"
Saint-Laurent-du-Maroni,-54.033333222786446,5.495834180399626,"[-54.033333222786446, 5.495834180399626]"
Salinas2,-80.98749987464329,-2.200000056782271,"[-80.98749987464329, -2.200000056782271]"
Tranqueras,-55.768750052513774,-31.189582872423916,"[-55.768750052513774, -31.189582872423916]"
Urubamba,-72.11249985690164,-13.308334252453335,"[-72.11249985690164, -13.308334252453335]"
Uspallata,-69.34583266079206,-32.59375121473808,"[-69.34583266079206, -32.59375121473808]"
General Conesa,-64.4558347927646,-40.10416692350745,"[-64.4558347927646, -40.10416692350745]"
Lac La Biche,-111.97321378575911,54.76726057561497,"[-111.97321378575911, 54.76726057561497]"
Donegal,-8.110119188862202,54.65059495966304,"[-8.110119188862202, 54.65059495966304]"
Angra do Heroismo,-27.22083430648229,38.65833261920424,"[-27.22083430648229, 38.65833261920424]"
Almirante,-82.39750009279176,9.299165862478779,"[-82.39750009279176, 9.299165862478779]"
Bossembele,17.644166618999993,5.265833163636519,"[17.644166618999993, 5.265833163636519]"
Lamas,-76.5158333702332,-6.4191667325332125,"[-76.5158333702332, -6.4191667325332125]"
Paraiso,-93.2158336566699,18.394166681278975,"[-93.2158336566699, 18.394166681278975]"
Peto,-88.92416740165235,20.12749951901287,"[-88.92416740165235, 20.12749951901287]"
Puquio,-74.12250096130273,-14.6908343925419,"[-74.12250096130273, -14.6908343925419]"
Santo Tomas,-72.08249948745392,-14.452500818990952,"[-72.08249948745392, -14.452500818990952]"
Vergara,-53.93916666132816,-32.94250002295416,"[-53.93916666132816, -32.94250002295416]"
Bekiy,45.31750078737524,-24.217499215843016,"[45.31750078737524, -24.217499215843016]"
Chernogorsk,91.22500057434594,53.81666752616553,"[91.22500057434594, 53.81666752616553]"
Eumseong,127.69027807321346,36.92777785299495,"[127.69027807321346, 36.92777785299495]"
Gimli,-96.9895838526275,50.63333233022922,"[-96.9895838526275, 50.63333233022922]"
Lead,-103.76845214850538,44.35059587942141,"[-103.76845214850538, 44.35059587942141]"
Mount Barker,117.66250015584619,-34.62916674011534,"[117.66250015584619, -34.62916674011534]"
Babati,35.745832940980705,-4.21083326308747,"[35.745832940980705, -4.21083326308747]"
Balancan,-91.53750001997376,17.802500909145316,"[-91.53750001997376, 17.802500909145316]"
Happy Valley,-60.31369039577806,53.30178628641577,"[-60.31369039577806, 53.30178628641577]"
Hardin,-107.61250088901252,45.732736633302046,"[-107.61250088901252, 45.732736633302046]"
Kafue,28.179167507149817,-15.777499872142347,"[28.179167507149817, -15.777499872142347]"
Nova Vicosa,-39.37249914829681,-17.894167599034414,"[-39.37249914829681, -17.894167599034414]"
Oshikango,15.89749943647274,-17.397500868912037,"[15.89749943647274, -17.397500868912037]"
Roebourne,117.13916531197923,-20.769165632969464,"[117.13916531197923, -20.769165632969464]"
General Roca,-67.63750070966351,-39.0166662621948,"[-67.63750070966351, -39.0166662621948]"
Knysna,23.04444226615938,-34.03472261455372,"[23.04444226615938, -34.03472261455372]"
Liverpool1,-64.7196422868996,44.03511941727648,"[-64.7196422868996, 44.03511941727648]"
Vilyuysk,121.6216641474134,63.75083285150746,"[121.6216641474134, 63.75083285150746]"
Sonson,-75.30833297648448,5.712500808234915,"[-75.30833297648448, 5.712500808234915]"
Villanueva,-102.8833336659527,22.35416673580879,"[-102.8833336659527, 22.35416673580879]"
Byron Bay,153.61488051413303,-28.65297658681504,"[153.61488051413303, -28.65297658681504]"
Collipulli,-72.43645802478997,-37.95312528276056,"[-72.43645802478997, -37.95312528276056]"
Kimhyonggwon,128.15654885828326,40.81607154427375,"[128.15654885828326, 40.81607154427375]"
San Lorenzo1,-58.766667006186026,-28.133333090270146,"[-58.766667006186026, -28.133333090270146]"
Abra Pampa,-65.69722213411728,-22.722223646425658,"[-65.69722213411728, -22.722223646425658]"
Bogue,-14.273611243546823,16.591665936179176,"[-14.273611243546823, 16.591665936179176]"
Caazapa,-56.368452892037524,-26.19583394022552,"[-56.368452892037524, -26.19583394022552]"
Canatlan,-104.77499943711888,24.52500011098048,"[-104.77499943711888, 24.52500011098048]"
Illizi,8.479165389401654,26.504167413154917,"[8.479165389401654, 26.504167413154917]"
Mendi,143.64861183318072,-6.1361118831668735,"[143.64861183318072, -6.1361118831668735]"
Osakarovka,72.58194499526137,50.5652768637095,"[72.58194499526137, 50.5652768637095]"
Pampa del Infierno,-61.17321453383358,-26.50416738167971,"[-61.17321453383358, -26.50416738167971]"
Paraguari,-57.148213573509814,-25.620832841792065,"[-57.148213573509814, -25.620832841792065]"
Puerto Baquerizo Moreno,-89.60972292110824,-0.9055554627345465,"[-89.60972292110824, -0.9055554627345465]"
San Carlos,-63.730555220444685,-17.405554871953225,"[-63.730555220444685, -17.405554871953225]"
San Pedro2,-57.076785553100905,-24.087499641910767,"[-57.076785553100905, -24.087499641910767]"
