City,longitude,latitude,coordinates,Unnamed: 0,mean_ndvi,mean_surface_water,mean_uhi_DayNight,mean_uhi_daytime,mean_uhi_Nighttime,Continent,Class,Skewness,Dip_Statistic,Mean_Height
Drammen,10.080755910238508,59.75451508944976,"[10.080755910238508, 59.754515089449754]",264.0,4270.07495949978,2.70866141732283,0.482934479011979,0.420209549302357,0.0627249297096219,EUROPE,Pyramid,4.826995248,0.380617027,0.408408722
Bend,-121.30153418023616,44.055368132461126,"[-121.30153418023615, 44.055368132461126]",596.0,3644.73494112319,2.24242424242424,1.40362213469895,0.690875308246719,0.712746826452228,NORTH AMERICA,Pyramid,0.827349822,0.034674263,1.587672993
Sumter,-80.36522429417684,33.91934640239893,"[-80.36522429417684, 33.91934640239893]",306.0,5968.12064288369,1.69230769230769,1.97690204898951,1.35943717216742,0.617464876822094,NORTH AMERICA,Pyramid,2.027341603,0.998122544,0.850303588
Groningen,6.572577174553107,53.21704675406957,"[6.572577174553107, 53.21704675406957]",102.0,5841.19599045066,2.39762611275964,1.35390907109172,0.954692297727658,0.399216773364063,EUROPE,Pyramid,1.626894123,0.995068077,1.56749345
Bellingham,-122.4669324941959,48.75799470049092,"[-122.4669324941959, 48.75799470049092]",589.0,6051.73857288802,2.94822888283379,1.12503231457075,0.592130910596039,0.532901403974714,NORTH AMERICA,Pyramid,1.425594606,0.38616332,1.391202737
Titusville,-80.82855025588658,28.593560714599978,"[-80.82855025588658, 28.593560714599978]",546.0,5575.92814010095,2.3741935483871,1.19100119212128,1.11623982965064,0.0747613624706374,NORTH AMERICA,Pyramid,1.259683271,0.99597018,0.891999433
Johnstown,-78.89982098333525,40.29946418474295,"[-78.89982098333525, 40.299464184742945]",561.0,5431.85984566158,1.86153846153846,0.292618481667598,0.446090576581872,-0.153472094914274,NORTH AMERICA,Pyramid,2.090533508,0.935093581,0.765488326
Bukavu,28.83516234091525,-2.36671835113005,"[28.83516234091525, -2.36671835113005]",236.0,5357.98173214532,2.93796526054591,,,,AFRICA,Pyramid,2.911389713,0.042596617,0.865550844
Limeira,-47.40624910569286,-22.56820566162197,"[-47.40624910569286, -22.56820566162197]",572.0,4736.42693236715,1.72222222222222,1.80356588078347,1.25351249329597,0.550053387487496,SOUTH AMERICA,Hourglass,0.66234632,0.0,2.170936858
Angren,70.08912101714819,41.01420953335032,"[70.08912101714819, 41.01420953335032]",219.0,2798.51994979169,1.35458167330677,0.297811910586304,-0.0285754164644316,0.326387327050735,ASIA,Hourglass,1.18077016,0.0,1.24269136
Urgentch,60.62771753392961,41.54597530931934,"[60.62771753392961, 41.54597530931934]",146.0,2319.26983920975,1.38706563706564,2.24061665572483,1.09747600393119,1.14314065179364,ASIA,Hourglass,0.276962124,0.0,1.972508444
Jining1,113.10878028837313,41.03846070439997,"[113.10878028837311, 41.03846070439997]",543.0,2457.40076218248,2.03508771929825,0.711025832888225,-0.571287586241961,1.28231341913019,ASIA,Pyramid,1.206460165,0.110870777,1.677728941
Kostroma,40.94630778238599,57.77188508532628,"[40.946307782385986, 57.77188508532628]",316.0,3182.46446570281,2.69554455445545,1.6636276447905,1.01214376898445,0.651483875806043,EUROPE,Pyramid,1.17843298,0.00703675,1.494206368
Kolar,78.13532505363735,13.137782661044632,"[78.13532505363735, 13.137782661044632]",286.0,4256.58045808419,1.64444444444444,1.53377348457773,0.829683116657866,0.704090367919869,ASIA,Pyramid,3.2313061,0.395317662,0.317104661
Tarragona,1.2278878709989438,41.12702259702512,"[1.2278878709989438, 41.12702259702512]",425.0,3960.79549623803,2.9124251497006,2.49243709701794,1.75127202723111,0.741165069786827,EUROPE,Pyramid,1.643341119,0.982310183,1.693906134
Kerman,57.06883414300519,30.283083102219685,"[57.06883414300519, 30.283083102219685]",164.0,1131.86189726941,1.33333333333333,-0.0941787867054431,-3.44656396919051,3.35238518248507,ASIA,Hourglass,-0.173836614,0.0,2.673802442
Kherson,32.612627771184016,46.6634897712933,"[32.612627771184016, 46.6634897712933]",177.0,3795.79700978549,2.49275362318841,1.01807442711464,0.500289722339014,0.517784704775622,EUROPE,Hourglass,0.957631147,0.0,2.572885072
Visalia,-119.32113837930034,36.32660022524888,"[-119.32113837930034, 36.326600225248875]",281.0,0.0,1.50819672131148,2.74766069385264,1.32875812037197,1.41890257348067,NORTH AMERICA,Hourglass,0.149720969,0.0,1.953932044
Taranto,17.224741614845442,40.52178932509706,"[17.224741614845442, 40.52178932509706]",415.0,4290.44446351037,2.7025171624714,1.80422457872055,0.760710801422037,1.04351377729851,EUROPE,Pyramid,2.563949474,0.458527473,1.581581613
Malaga,-4.441054726515638,36.71898238086579,"[-4.441054726515638, 36.71898238086579]",163.0,0.0,2.9022869022869,1.06019374886169,0.448363701760984,0.611830047100711,EUROPE,Pyramid,1.035633281,0.965487714,2.742980134
Rapid City,-103.22678617422632,44.07349719604411,"[-103.22678617422633, 44.07349719604411]",220.0,3537.34701307883,1.66279069767442,1.34925659303755,0.889538340534304,0.459718252503248,NORTH AMERICA,Pyramid,2.792851283,0.969393348,0.952586903
Baqubah,44.62628367103846,33.745185580621005,"[44.62628367103846, 33.745185580621005]",483.0,2908.13614525571,1.56459330143541,0.875851858897075,-0.294778215517733,1.17063007441481,ASIA,Pyramid,1.31738705,0.992369046,0.787932546
Mahilyow,30.334330376636824,53.896851196530726,"[30.334330376636824, 53.896851196530726]",141.0,3637.47801409541,2.30208333333333,1.69204966648229,1.22437867337987,0.467670993102421,EUROPE,Hourglass,1.462252191,0.0,2.016565604
Uroteppa,68.99806690153756,39.91976887727721,"[68.99806690153756, 39.91976887727721]",148.0,2552.93549907424,2.07692307692308,-0.698829286008864,-0.736227979818423,0.0373986938095594,ASIA,Hourglass,0.394120615,0.0,1.508322349
